exercise_id,exercise_name,aliases,primary_muscle,secondary_muscles,muscle_group,equipment,category,movement_pattern,exercise_type,mechanics,force,difficulty,unilateral,bodyweight,default_sets,default_rep_range,tracking_type,parent_exercise,search_keywords,notes
ex-0011-drag-barbell-curl,Drag Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0012-drag-cable-curl,Drag Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0013-drag-dumbbell-curl,Drag Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0014-drag-ez-bar-curl,Drag EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0015-drag-hammer-curl,Drag Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0016-drag-machine-curl,Drag Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0017-drag-preacher-curl,Drag Preacher Curl,,Biceps,Brachialis|Forearms,Arms,Preacher Bench,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0018-drag-resistance-band-curl,Drag Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0019-dumbbell-curl,Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0020-dumbbell-triceps-extension,Dumbbell Triceps Extension,,Triceps,,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0021-ez-bar-curl,EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0022-hammer-curl,Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0023-incline-cable-curl,Incline Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0024-incline-dumbbell-curl,Incline Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0025-incline-hammer-curl,Incline Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0026-jm-press,JM Press,,Triceps,,Arms,Barbell,Strength,Elbow Extension,Resistance,Compound,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0027-lying-triceps-extension,Lying Triceps Extension,,Triceps,,Arms,Barbell,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0028-machine-curl,Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0029-machine-dip,Machine Dip,,Triceps,,Arms,Machine,Strength,Elbow Extension,Resistance,Compound,Push,Beginner,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0030-overhead-triceps-extension,Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0031-preacher-curl,Preacher Curl,,Biceps,Brachialis|Forearms,Arms,Preacher Bench,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0032-resistance-band-curl,Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0033-reverse-grip-barbell-curl,Reverse-Grip Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0034-reverse-grip-cable-curl,Reverse-Grip Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0035-reverse-grip-ez-bar-curl,Reverse-Grip EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0036-reverse-grip-overhead-triceps-extension,Reverse-Grip Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Overhead Triceps Extension,cable triceps,
ex-0037-reverse-grip-triceps-pushdown,Reverse-Grip Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Triceps Pushdown,cable triceps,
ex-0038-rope-overhead-triceps-extension,Rope Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Overhead Triceps Extension,cable triceps,
ex-0039-rope-triceps-pushdown,Rope Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Triceps Pushdown,cable triceps,
ex-0040-seated-barbell-curl,Seated Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0041-seated-cable-curl,Seated Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0042-seated-dumbbell-curl,Seated Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0043-seated-ez-bar-curl,Seated EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0044-seated-hammer-curl,Seated Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0045-seated-machine-curl,Seated Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0046-seated-preacher-curl,Seated Preacher Curl,,Biceps,Brachialis|Forearms,Arms,Preacher Bench,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0047-seated-resistance-band-curl,Seated Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0048-single-arm-cable-curl,Single-Arm Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,true,false,3,8-15 each side,reps,Biceps Curl,one arm curl,
ex-0049-single-arm-dumbbell-curl,Single-Arm Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,true,false,3,8-15 each side,reps,Biceps Curl,one arm curl,
ex-0050-single-arm-dumbbell-triceps-extension,Single-Arm Dumbbell Triceps Extension,,Triceps,Core,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,true,false,3,10-15 each side,reps,Dumbbell Triceps Extension,unilateral triceps,
ex-0051-single-arm-hammer-curl,Single-Arm Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,true,false,3,8-15 each side,reps,Biceps Curl,one arm curl,
ex-0052-single-arm-machine-curl,Single-Arm Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,true,false,3,8-15 each side,reps,Biceps Curl,one arm curl,
ex-0053-single-arm-overhead-triceps-extension,Single-Arm Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,true,false,3,10-15,reps,Overhead Triceps Extension,cable triceps,
ex-0054-single-arm-resistance-band-curl,Single-Arm Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,true,false,3,8-15 each side,reps,Biceps Curl,one arm curl,
ex-0055-single-arm-tate-press,Single-Arm Tate Press,,Triceps,Core,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,true,false,3,10-15 each side,reps,Tate Press,unilateral triceps,
ex-0056-single-arm-triceps-kickback,Single-Arm Triceps Kickback,,Triceps,Core,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,true,false,3,10-15 each side,reps,Triceps Kickback,unilateral triceps,
ex-0057-single-arm-triceps-pushdown,Single-Arm Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,true,false,3,10-15,reps,Triceps Pushdown,cable triceps,
ex-0058-skull-crusher,Skull Crusher,,Triceps,,Arms,EZ-Bar,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0059-spider-barbell-curl,Spider Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0060-spider-cable-curl,Spider Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0061-spider-dumbbell-curl,Spider Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0062-spider-ez-bar-curl,Spider EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0063-spider-hammer-curl,Spider Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0064-spider-machine-curl,Spider Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0065-spider-preacher-curl,Spider Preacher Curl,,Biceps,Brachialis|Forearms,Arms,Preacher Bench,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0066-spider-resistance-band-curl,Spider Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0067-standing-barbell-curl,Standing Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0068-standing-cable-curl,Standing Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0069-standing-dumbbell-curl,Standing Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0070-standing-ez-bar-curl,Standing EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0071-standing-hammer-curl,Standing Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0072-standing-machine-curl,Standing Machine Curl,,Biceps,Brachialis|Forearms,Arms,Machine,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0073-standing-preacher-curl,Standing Preacher Curl,,Biceps,Brachialis|Forearms,Arms,Preacher Bench,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0074-standing-resistance-band-curl,Standing Resistance Band Curl,,Biceps,Brachialis|Forearms,Arms,Resistance Band,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0075-straight-bar-overhead-triceps-extension,Straight Bar Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Overhead Triceps Extension,cable triceps,
ex-0076-straight-bar-triceps-pushdown,Straight Bar Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Triceps Pushdown,cable triceps,
ex-0077-tate-press,Tate Press,,Triceps,,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Compound,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0078-triceps-kickback,Triceps Kickback,,Triceps,,Arms,Dumbbells,Strength,Elbow Extension,Resistance,Isolation,Push,Intermediate,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0079-triceps-pushdown,Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0080-v-bar-overhead-triceps-extension,V-Bar Overhead Triceps Extension,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Overhead Triceps Extension,cable triceps,
ex-0081-v-bar-triceps-pushdown,V-Bar Triceps Pushdown,,Triceps,,Arms,Cable,Strength,Elbow Extension,Resistance,Isolation,Push,Beginner,false,false,3,10-15,reps,Triceps Pushdown,cable triceps,
ex-0082-wide-grip-barbell-curl,Wide-Grip Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0083-wide-grip-cable-curl,Wide-Grip Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0084-wide-grip-ez-bar-curl,Wide-Grip EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0085-1-5-rep-barbell-row,1.5-Rep Barbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Advanced,false,false,3,5-10,reps,Barbell Row,row back horizontal pull advanced variation,
ex-0086-1-5-rep-pull-up,1.5-Rep Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Advanced,false,true,3,5-10,reps,Pull-Up,pullup chinup vertical pull advanced variation,
ex-0087-1-5-rep-seated-cable-row,1.5-Rep Seated Cable Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Cable,Strength,Horizontal Pull,Resistance,Compound,Pull,Advanced,false,false,3,5-10,reps,Seated Cable Row,row back horizontal pull advanced variation,
ex-0088-archer-pull-up,Archer Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Advanced,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0089-assisted-pull-up,Assisted Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0090-band-assisted-pull-up,Band-Assisted Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Resistance Band|Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0091-barbell-row,Barbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Barbell Row,row back horizontal pull,
ex-0092-chest-supported-row,Chest-Supported Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Machine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Chest-Supported Row,row back horizontal pull,
ex-0093-chin-up,Chin-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0094-close-grip-barbell-row,Close-Grip Barbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Barbell Row,row back horizontal pull,
ex-0095-close-grip-chest-supported-row,Close-Grip Chest-Supported Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Machine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Chest-Supported Row,row back horizontal pull,
ex-0096-close-grip-lat-pulldown,Close-Grip Lat Pulldown,,Latissimus Dorsi,Biceps|Teres Major|Upper Back,Back,Cable,Strength,Vertical Pull,Resistance,Compound,Pull,Beginner,false,false,3,8-12,reps,Lat Pulldown,lat pull down back,
ex-0097-close-grip-machine-row,Close-Grip Machine Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Machine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Machine Row,row back horizontal pull,
ex-0098-close-grip-pendlay-row,Close-Grip Pendlay Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Pendlay Row,row back horizontal pull,
ex-0099-close-grip-plate-loaded-row,Close-Grip Plate-Loaded Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Plate-Loaded Machine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Plate-Loaded Row,row back horizontal pull,
ex-0100-close-grip-pull-up,Close-Grip Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0101-close-grip-seal-row,Close-Grip Seal Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Seal Row,row back horizontal pull,
ex-0102-close-grip-seated-cable-row,Close-Grip Seated Cable Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Cable,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Seated Cable Row,row back horizontal pull,
ex-0103-close-grip-yates-row,Close-Grip Yates Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Yates Row,row back horizontal pull,
ex-0104-commando-pull-up,Commando Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0105-dumbbell-row,Dumbbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Dumbbells,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Dumbbell Row,row back horizontal pull,
ex-0106-eccentric-barbell-row,Eccentric Barbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Advanced,false,false,3,5-10,reps,Barbell Row,row back horizontal pull advanced variation,
ex-0107-eccentric-pull-up,Eccentric Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Advanced,false,true,3,5-10,reps,Pull-Up,pullup chinup vertical pull advanced variation,
ex-0108-eccentric-seated-cable-row,Eccentric Seated Cable Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Cable,Strength,Horizontal Pull,Resistance,Compound,Pull,Advanced,false,false,3,5-10,reps,Seated Cable Row,row back horizontal pull advanced variation,
ex-0109-inverted-row,Inverted Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Bodyweight,Bodyweight,Horizontal Pull,Calisthenics,Compound,Pull,Intermediate,false,true,3,6-12,reps,Inverted Row,row back horizontal pull,
ex-0110-l-sit-pull-up,L-Sit Pull-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Advanced,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0111-landmine-row,Landmine Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Landmine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Landmine Row,row back horizontal pull,
ex-0112-machine-row,Machine Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Machine,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Machine Row,row back horizontal pull,
ex-0113-medium-grip-lat-pulldown,Medium-Grip Lat Pulldown,,Latissimus Dorsi,Biceps|Teres Major|Upper Back,Back,Cable,Strength,Vertical Pull,Resistance,Compound,Pull,Beginner,false,false,3,8-12,reps,Lat Pulldown,lat pull down back,
ex-0114-muscle-up,Muscle-Up,,Latissimus Dorsi,Biceps|Upper Back|Core,Back,Pull-Up Bar,Bodyweight,Vertical Pull,Calisthenics,Compound,Pull,Advanced,false,true,3,5-12,reps,Pull-Up,pullup chinup vertical pull,
ex-0115-neutral-grip-barbell-row,Neutral-Grip Barbell Row,,Upper Back,Latissimus Dorsi|Biceps|Posterior Deltoids,Back,Barbell,Strength,Horizontal Pull,Resistance,Compound,Pull,Intermediate,false,false,3,6-12,reps,Barbell Row,row back horizontal pull,
